configKey,category,valueType,value,enabled,description
tenant_key,identity,text,mahsa_azar,true,Stable key identifying this user's configuration
tenant_enabled,identity,boolean,true,true,Whether this tenant configuration is active
applicant_filename,identity,text,MahsaAzar,true,Applicant prefix used for generated application filenames
baserow_table_ids,baserow,json,"{""jobs"":1112067,""searchCriteria"":1112068,""prompts"":1112069}",true,Baserow table IDs grouped by resource type
contract_type_option_ids,baserow,json,"{""fullTime"":7044382,""contract"":7044383,""partTime"":7044384,""temporary"":7044385,""internship"":7044386,""volunteer"":7044387}",true,Single-select option IDs for Contract Type
status_option_ids,baserow,json,"{""new"":7044388,""dropped"":7044389,""toApply"":7044390,""applied"":7044391,""rejected"":7044392,""interview"":7044393,""offered"":7044394}",true,Single-select option IDs for application Status
fillout_form_id,fillout,text,5917zXeZZtus,true,Fillout form used by the unified job-entry workflow
fillout_field_ids,fillout,json,"{""entryType"":""entryType"",""linkedinJobId"":""6Ze685Zcm27s3sV6xAdg6w"",""companyName"":""tccyk1pB8iRUf1NGCDbcP5"",""jobTitle"":""mV2wYQbu1b1Jhf1gTDAbK8"",""jobDescription"":""98TcaL2qnS8Y31TQxgZaZD"",""jobUrl"":""1gZ3kT2Db3G3y2QhYfjT8X"",""location"":""oc63gzWN4vxEJwx8nzZrAK"",""contractType"":""g2VK5MiabTgDTUXGYhnV4q"",""publishedAt"":""sYghUzUtSwi8T4yaReYefR"",""externalJobId"":""2XDTXJHaY2BJEndo3EgEAV"",""pageContent"":""uAXUdaYv4cjhWqtZiFYWc7""}",true,Fillout question IDs grouped by form field
apify_actor_ids,apify,json,"{""linkedinSearch"":""2rJKkhh7vjpX7pvjg"",""linkedinSingleJob"":""8C80j2N6lo6gqQgms""}",true,Apify actor IDs grouped by scraping purpose
apify_proxy_country,apify,text,ca,true,Proxy country used for single-job LinkedIn scraping
apify_max_concurrency,apify,number,1,true,Maximum concurrent requests for single-job scraping
linkedin_max_items,linkedin,number,150,true,Maximum jobs requested from the scheduled LinkedIn scraper
linkedin_schedule_interval_hours,linkedin,number,1,true,Interval in hours for the scheduled LinkedIn job search
linkedin_base_search_url,linkedin,text,https://www.linkedin.com/jobs/search/,true,Base URL used to build LinkedIn search URLs
linkedin_job_url_template,linkedin,text,https://www.linkedin.com/jobs/view/{jobId},true,Template used to build a LinkedIn job URL from a numeric job ID
company_exclusions,linkedin,json,"[""Quik Hire Staffing"",""Get Offers"",""Keystone Recruitment"",""Mercor"",""Crossing Hurdles"",""Lensa"",""Hire Feed"",""Jobs AI"",""Jobright.ai"",""Alignerr"",""jobgether"",""Hired"",""DataAnnotation""]",true,Company names excluded by the scheduled scraper
title_exclusions,linkedin,json,"[""senior"",""manager"",""director"",""lead"",""sr"",""sr."",""head"",""staff"",""principal"",""french"",""german"",""japanese"",""spanish"",""kyrgyz""]",true,Job-title terms excluded by the scheduled scraper
work_experience_selection_count,cv,number,3,true,Number of experience entries selected for a tailored CV
qualification_threshold,qualification,number,33,true,Minimum qualification score required by the hourly workflow
telegram_chat_id,telegram,text,386886099,true,Telegram destination chat or user ID
cloudinary_folder_prefix,cloudinary,text,job-applications,true,Base folder used for Cloudinary application artifacts
cloudinary_tags,cloudinary,json,"[""job-application"",""generated-document""]",true,Common Cloudinary tags applied to generated documents
gemini_model,ai,text,models/gemini-3.5-flash-lite,true,Gemini model used by generation and scoring nodes
